(111, 'Pandemonium', '2022-12-03', 'https://i.scdn.co/image/ab67616d0000b27330af0cbeba694b5a25e2425b', '2oaHLBxjxKbjDzjz2UODkC', 'MPREb_ogLRuPxbPfR'),
(112, 'Vol. 2: DESPAIR', '2022-07-26', 'https://i.scdn.co/image/ab67616d0000b2736ecda150c584cabfcbfd049f', '1AbVO3geOxmGgQbV9HlKas', None),
(113, 'Tailspin', '2022-01-14', 'https://i.scdn.co/image/ab67616d0000b273ca00112e1177649cc09d9baa', '4HoG0k0I5c6ENALVZ7cGJw', None),
(114, 'Elegy', '2022-01-14', 'https://i.scdn.co/image/ab67616d0000b2738f7b1ae88d6ee042908eacb3', '1YwAkYsGTgNMWaayCgxjsb', None),
(115, 'Convalescence', '2019-12-07', 'https://i.scdn.co/image/ab67616d0000b2731e7306f912742ec310c2a319', '0em1IgG1cb7z3ccvdAumXW', None),
(116, 'Void', '2018-07-20', 'https://i.scdn.co/image/ab67616d0000b2738e09f2d0d833c40aff138f1d', '3IV7hPTpzhLeVmJxM47HDP', None),
(117, 'The Joy of Motion', '2014-03-25', 'https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e', '3BfAgyF1AdYKaOO7EBoDw4', None),
(118, 'Crime Slunk Scene', '2009-03-21', 'https://i.scdn.co/image/ab67616d0000b273c4d049110f1324238b0aeb97', '0Rw0SfgpXWwQEyA7zf2Ta0', None),
(119, 'Underneath', '2020-03-13', 'https://i.scdn.co/image/ab67616d0000b2736309a1f13c14df29de8177a5', '70kThssMOMBi4GyBPCk0Gu', None),
(120, 'Dysfunction', '1999-04-13', 'https://i.scdn.co/image/ab67616d0000b273f34b698931828b54bceb52f9', '4fLp0YBi1chfMHSBkIeI6w', None),
(121, 'Money Shot', '2015-10-30', 'https://i.scdn.co/image/ab67616d0000b273fb4f3561a4cd7f7aaef9ca7f', '6MyJhSzVSOravLjL5hpFMk', None),
(122, 'HOT VODKA 1', '2020-05-08', 'https://i.scdn.co/image/ab67616d0000b273f3ed0d1012bc721b792bb04a', '2Qn68VZvL7pomSzTxs5r4w', None),
(123, 'Toxicity', '2001-09-04', 'https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578', '6jWde94ln40epKIQCd8XUh', None),
(124, 'Apokalypsis', '2011-08-23', 'https://i.scdn.co/image/ab67616d0000b27385a33be5adb66f53f2105b39', '6FyvLNb26bBDQ9ViXlEy5i', None),
(125, 'Danzig', '1988-01-01', 'https://i.scdn.co/image/ab67616d0000b273bc8d8db760af7b9d0c91747f', '3elIDlrTtrgKfbxYVgp3uW', None),
